icd103,chapter,l1,l2
K72,XI Diseases of the digestive system,Diseases of liver,Hepatic failure; not elsewhere classified
K73,XI Diseases of the digestive system,Diseases of liver,Chronic hepatitis; not elsewhere classified
K74,XI Diseases of the digestive system,Diseases of liver,Fibrosis and cirrhosis of liver
K75,XI Diseases of the digestive system,Diseases of liver,Other inflammatory liver diseases
K76,XI Diseases of the digestive system,Diseases of liver,Other diseases of liver
K77,XI Diseases of the digestive system,Diseases of liver,Liver disorders in diseases classified elsewhere
K80,XI Diseases of the digestive system,Disorders of gallbladder; biliary tract and pancreas,Cholelithiasis
K81,XI Diseases of the digestive system,Disorders of gallbladder; biliary tract and pancreas,Cholecystitis
K82,XI Diseases of the digestive system,Disorders of gallbladder; biliary tract and pancreas,Other diseases of gallbladder
K83,XI Diseases of the digestive system,Disorders of gallbladder; biliary tract and pancreas,Other diseases of biliary tract
K84,XI Diseases of the digestive system,Disorders of gallbladder; biliary tract and pancreas,TBC
K85,XI Diseases of the digestive system,Disorders of gallbladder; biliary tract and pancreas,Acute pancreatitis
K86,XI Diseases of the digestive system,Disorders of gallbladder; biliary tract and pancreas,Other diseases of pancreas
K87,XI Diseases of the digestive system,Disorders of gallbladder; biliary tract and pancreas,TBC
K90,XI Diseases of the digestive system,Other diseases of the digestive system,Intestinal malabsorption
K91,XI Diseases of the digestive system,Other diseases of the digestive system,Postprocedural disorders of digestive system; not elsewhere classified
K92,XI Diseases of the digestive system,Other diseases of the digestive system,Other diseases of digestive system
K93,XI Diseases of the digestive system,Other diseases of the digestive system,Disorders of other digestive organs in diseases classified elsewhere
L00,XII Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue,Staphylococcal scalded skin syndrome
L01,XII Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue,Impetigo
L02,XII Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue,Cutaneous abscess; furuncle and carbuncle
L03,XII Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue,Cellulitis
L04,XII Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue,Acute lymphadenitis
L05,XII Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue,Pilonidal cyst
L06,XII Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue,TBC
L07,XII Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue,TBC
L08,XII Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue,Other local infections of skin and subcutaneous tissue
L10,XII Diseases of the skin and subcutaneous tissue,Bullous disorders,Pemphigus
L11,XII Diseases of the skin and subcutaneous tissue,Bullous disorders,Other acantholytic disorders
L12,XII Diseases of the skin and subcutaneous tissue,Bullous disorders,Pemphigoid
L13,XII Diseases of the skin and subcutaneous tissue,Bullous disorders,Other bullous disorders
L14,XII Diseases of the skin and subcutaneous tissue,Bullous disorders,TBC
L20,XII Diseases of the skin and subcutaneous tissue,Dermatitis and eczema,Atopic dermatitis
L21,XII Diseases of the skin and subcutaneous tissue,Dermatitis and eczema,Seborrhoeic dermatitis
L22,XII Diseases of the skin and subcutaneous tissue,Dermatitis and eczema,Diaper [napkin] dermatitis
L23,XII Diseases of the skin and subcutaneous tissue,Dermatitis and eczema,Allergic contact dermatitis
L24,XII Diseases of the skin and subcutaneous tissue,Dermatitis and eczema,Irritant contact dermatitis
L25,XII Diseases of the skin and subcutaneous tissue,Dermatitis and eczema,Unspecified contact dermatitis
L26,XII Diseases of the skin and subcutaneous tissue,Dermatitis and eczema,Exfoliative dermatitis
L27,XII Diseases of the skin and subcutaneous tissue,Dermatitis and eczema,Dermatitis due to substances taken internally
L28,XII Diseases of the skin and subcutaneous tissue,Dermatitis and eczema,Lichen simplex chronicus and prurigo
L29,XII Diseases of the skin and subcutaneous tissue,Dermatitis and eczema,Pruritus
L30,XII Diseases of the skin and subcutaneous tissue,Dermatitis and eczema,Other dermatitis
L40,XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,Psoriasis
L41,XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,Parapsoriasis
L42,XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,Pityriasis rosea
L43,XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,Lichen planus
L44,XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,Other papulosquamous disorders
L45,XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,TBC
L50,XII Diseases of the skin and subcutaneous tissue,Urticaria and erythema,Urticaria
L51,XII Diseases of the skin and subcutaneous tissue,Urticaria and erythema,Erythema multiforme
L52,XII Diseases of the skin and subcutaneous tissue,Urticaria and erythema,Erythema nodosum
L53,XII Diseases of the skin and subcutaneous tissue,Urticaria and erythema,Other erythematous conditions
L54,XII Diseases of the skin and subcutaneous tissue,Urticaria and erythema,Erythema in diseases classified elsewhere
L55,XII Diseases of the skin and subcutaneous tissue,Radiation-related disorders of the skin and subcutaneous tissue,Sunburn
L56,XII Diseases of the skin and subcutaneous tissue,Radiation-related disorders of the skin and subcutaneous tissue,Other acute skin changes due to ultraviolet radiation
L57,XII Diseases of the skin and subcutaneous tissue,Radiation-related disorders of the skin and subcutaneous tissue,Skin changes due to chronic exposure to nonionizing radiation
L58,XII Diseases of the skin and subcutaneous tissue,Radiation-related disorders of the skin and subcutaneous tissue,Radiodermatitis
L59,XII Diseases of the skin and subcutaneous tissue,Radiation-related disorders of the skin and subcutaneous tissue,Other disorders of skin and subcutaneous tissue related to radiation
L60,XII Diseases of the skin and subcutaneous tissue,Disorders of skin appendages,Nail disorders
L61,XII Diseases of the skin and subcutaneous tissue,Disorders of skin appendages,TBC
L62,XII Diseases of the skin and subcutaneous tissue,Disorders of skin appendages,TBC
L63,XII Diseases of the skin and subcutaneous tissue,Disorders of skin appendages,Alopecia areata
L64,XII Diseases of the skin and subcutaneous tissue,Disorders of skin appendages,Androgenic alopecia
L65,XII Diseases of the skin and subcutaneous tissue,Disorders of skin appendages,Other nonscarring hair loss
L66,XII Diseases of the skin and subcutaneous tissue,Disorders of skin appendages,Cicatricial alopecia [scarring hair loss]
L67,XII Diseases of the skin and subcutaneous tissue,Disorders of skin appendages,Hair colour and hair shaft abnormalities
L68,XII Diseases of the skin and subcutaneous tissue,Disorders of skin appendages,Hypertrichosis
L69,XII Diseases of the skin and subcutaneous tissue,Disorders of skin appendages,TBC
L70,XII Diseases of the skin and subcutaneous tissue,Disorders of skin appendages,Acne
L71,XII Diseases of the skin and subcutaneous tissue,Disorders of skin appendages,Rosacea
L72,XII Diseases of the skin and subcutaneous tissue,Disorders of skin appendages,Follicular cysts of skin and subcutaneous tissue
L73,XII Diseases of the skin and subcutaneous tissue,Disorders of skin appendages,Other follicular disorders
L74,XII Diseases of the skin and subcutaneous tissue,Disorders of skin appendages,Eccrine sweat disorders
L75,XII Diseases of the skin and subcutaneous tissue,Disorders of skin appendages,Apocrine sweat disorders
L80,XII Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue,Vitiligo
L81,XII Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue,Other disorders of pigmentation
L82,XII Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue,Seborrhoeic keratosis
L83,XII Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue,Acanthosis nigricans
L84,XII Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue,Corns and callosities
L85,XII Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue,Other epidermal thickening
L86,XII Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue,TBC
L87,XII Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue,Transepidermal elimination disorders
L88,XII Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue,Pyoderma gangrenosum
L89,XII Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue,Decubitus ulcer and pressure area
L90,XII Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue,Atrophic disorders of skin
L91,XII Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue,Hypertrophic disorders of skin
L92,XII Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue,Granulomatous disorders of skin and subcutaneous tissue
L93,XII Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue,Lupus erythematosus
L94,XII Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue,Other localized connective tissue disorders
L95,XII Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue,Vasculitis limited to skin; not elsewhere classified
L96,XII Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue,TBC
